workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
light,AHDETS,1,0.94,1.0293575761130804,0.20497572466695613,62.502362311852664
light,AHDETS,2,0.95,0.8092365581422588,0.19533697826934654,67.56407924692799
light,AHDETS,3,0.9,0.7925129469757778,0.19523953615930628,65.24051715304489
light,AHDETS,4,0.92,0.8829869422748223,0.22063182900542963,66.93160190537274
light,AHDETS,5,0.91,0.707522863656648,0.19802038656110185,55.69762836143896
light,AHDETS,6,0.89,0.822112157121925,0.18286925902571596,63.89778378105271
light,AHDETS,7,0.94,0.9051445269741766,0.1911383382279921,66.89346839086954
light,AHDETS,8,0.92,0.907713571374899,0.22508593631300838,65.18352949022587
light,AHDETS,9,0.91,0.7177312899088797,0.19435012199031249,58.906729634079795
light,AHDETS,10,0.91,0.805659692326735,0.19326853185053927,58.83413582393294
light,AHDETS,11,0.94,0.8157872775977991,0.19359108838080052,58.098555981185214
light,AHDETS,12,0.94,0.6985783404735489,0.15139295001714617,57.72484125440154
light,AHDETS,13,0.93,0.7592872927090377,0.19848901386850762,60.82635506590739
light,AHDETS,14,0.92,0.7646995436191462,0.17517447708015896,59.10087215164917
light,AHDETS,15,0.94,0.8594647198486078,0.1838943695542207,65.20373228473147
light,AHDETS,16,0.9,0.7697618559903823,0.1749008159780596,60.83248189677025
light,AHDETS,17,0.95,0.7583310336286382,0.17435327015693405,61.94366984438463
light,AHDETS,18,0.91,0.8667338838397878,0.22493357036973746,63.05677492275255
light,AHDETS,19,0.9,1.0358665096852078,0.2116682885320997,67.00579500697864
light,AHDETS,20,0.96,0.732024984313595,0.15867010890745759,59.05448264387968
light,AHDETS,21,0.96,0.9807825068750482,0.19421000496347154,72.394533475117
light,AHDETS,22,0.96,0.7802576858442349,0.17051264549499998,57.2664540146866
light,AHDETS,23,0.97,0.7580281961884144,0.17096282582122824,66.02302316611
light,AHDETS,24,0.96,0.9361199652954392,0.21743665376623592,66.73069902456477
light,AHDETS,25,0.92,0.8087515671010607,0.18268582717908569,60.60936090251596
light,AHDETS,26,0.94,0.829950862447996,0.22994867397408109,71.99220614717048
light,AHDETS,27,0.91,0.8866052624410434,0.2151263710240505,66.73738394091865
light,AHDETS,28,0.92,0.7571533891811697,0.17767661114863942,59.93225810612623
light,AHDETS,29,0.95,0.723163376165723,0.18750956654425927,63.81550694271678
light,AHDETS,30,0.94,0.8023635447748559,0.2061609233783322,65.33641618129458
light,No_Deadline,1,0.98,0.6244417202942757,0.20479988447317057,62.269849739353376
light,No_Deadline,2,0.98,0.6467634902379341,0.18640304465226135,64.67634902379348
light,No_Deadline,3,0.95,0.6202612020348544,0.186127349955323,61.5143347939119
light,No_Deadline,4,0.99,0.6553482816542524,0.21539034689248612,65.34152854307004
light,No_Deadline,5,0.99,0.5408559310682268,0.19221572784932467,53.94903535578018
light,No_Deadline,6,0.98,0.6301060860239625,0.17767038592621523,62.69987317823205
light,No_Deadline,7,0.97,0.6466791862949995,0.18746641432814343,64.45666154171845
light,No_Deadline,8,0.99,0.6406219170683497,0.22532982005853433,64.06219170683492
light,No_Deadline,9,0.98,0.5779417017863213,0.19001651071582043,57.7941701786322
light,No_Deadline,10,0.98,0.5585904590963611,0.18867419261409873,55.656877235551505
light,No_Deadline,11,0.99,0.5718474196375732,0.19878185253684033,56.99978696541943
light,No_Deadline,12,0.99,0.5497835312089966,0.1482733730738409,54.9726674825352
light,No_Deadline,13,0.99,0.6035481715928088,0.1885788240495937,60.115770294255896
light,No_Deadline,14,1.0,0.5871358535735596,0.17362803413206337,58.61934225688718
light,No_Deadline,15,0.98,0.632782571507211,0.17792590165890562,63.22449194075733
light,No_Deadline,16,0.96,0.5876537150244365,0.16421266410521054,58.67971968331557
light,No_Deadline,17,0.97,0.6047229928615567,0.16781920450455934,60.46908963781972
light,No_Deadline,18,0.97,0.6103833784939732,0.2166128687562482,60.7241902046122
light,No_Deadline,19,0.99,0.6660379744819116,0.21660628946800334,65.77956955028911
light,No_Deadline,20,0.97,0.5864329185513008,0.1562754662007344,58.64329185513007
light,No_Deadline,21,1.0,0.7033162772545225,0.18327919641575688,70.12043657866198
light,No_Deadline,22,0.98,0.5636181927923639,0.168924882328922,56.23423836138993
light,No_Deadline,23,0.98,0.6569396258451231,0.16504524352760738,65.65588679820524
light,No_Deadline,24,0.98,0.6443409307576278,0.22194090129445201,64.15265850466987
light,No_Deadline,25,0.98,0.5852874923137726,0.18606866953140827,58.161847095413364
light,No_Deadline,26,0.98,0.683416511884641,0.23874175361185287,68.08741493126918
light,No_Deadline,27,0.99,0.643244629641132,0.20830010489013373,64.32413338750985
light,No_Deadline,28,0.96,0.5831718516056417,0.17243082329152784,58.22922346662631
light,No_Deadline,29,0.98,0.6220735199397643,0.1810397255062582,62.07381458361455
light,No_Deadline,30,0.99,0.6226286158988792,0.20286465563994893,62.246241227159715
light,No_Execution,1,0.89,1.0434096771916304,0.21224137985454056,66.45381207512501
light,No_Execution,2,0.94,0.9195948508750802,0.1955387666816679,69.6237053578205
light,No_Execution,3,0.86,1.2276801351445181,0.1981912566055225,65.50140704729654
light,No_Execution,4,0.81,1.3921830842079645,0.2449819825612904,76.00223695071756
light,No_Execution,5,0.85,1.1447124273352807,0.22030419729283654,61.83260371958042
light,No_Execution,6,0.87,1.0655079464941917,0.19438403424022369,67.92125180877936
light,No_Execution,7,0.88,1.1401980001154661,0.22712331154038182,78.84601775885172
light,No_Execution,8,0.86,1.3165256034032393,0.2371414381071625,69.84313547332424
light,No_Execution,9,0.88,1.125752011256358,0.22809827503613292,73.02393240600325
light,No_Execution,10,0.87,1.0063536968527844,0.20553704348113258,62.768448445906486
light,No_Execution,11,0.84,1.0929122157443614,0.19915106177568628,62.60427919050079
light,No_Execution,12,0.87,0.9370571485086415,0.17140082853508798,65.49922419663723
light,No_Execution,13,0.91,1.2263021367625906,0.21999603573072482,70.8438734105532
light,No_Execution,14,0.82,1.2761555933570092,0.2245960328673663,75.11596524214578
light,No_Execution,15,0.97,0.9846205511009647,0.18803691453064605,67.63128276384965
light,No_Execution,16,0.94,0.8243643216656891,0.19141031034112344,66.50985548168696
light,No_Execution,17,0.89,1.1037170848243794,0.19520105070195276,74.2913128175835
light,No_Execution,18,0.9,1.1366248097339302,0.24072760865667453,68.37091541149688
light,No_Execution,19,0.82,1.2775372335462611,0.2425198323109475,74.4187908405356
light,No_Execution,20,0.94,0.8589648764096448,0.16818801902746428,63.99099937521392
light,No_Execution,21,0.9,1.192418142039914,0.19644351538263122,77.02195898305686
light,No_Execution,22,0.99,0.9650385648080299,0.19146907274370148,64.30464331651811
light,No_Execution,23,0.91,1.0677129071583722,0.18570330517013228,79.97857297336475
light,No_Execution,24,0.93,1.3386285686120158,0.2253666698352587,68.4628934929874
light,No_Execution,25,0.87,1.125079036342861,0.2037208651897632,66.64224001777332
light,No_Execution,26,0.92,1.184630118491189,0.2596234343961543,75.61996771076424
light,No_Execution,27,0.89,1.0388827538894612,0.24545492590675017,75.68888727920849
light,No_Execution,28,0.86,1.0949324449077047,0.2012600452472195,71.34590790574745
light,No_Execution,29,0.91,1.0214983573287866,0.2025003592756881,69.43210789589858
light,No_Execution,30,0.87,1.2652412748587332,0.23776739028170088,76.6884864809332
light,No_Capacity,1,0.8,1.665184406337617,0.2825364692531664,90.0927918338567
light,No_Capacity,2,0.82,1.7608915211615426,0.2606443252122232,103.1554360930086
light,No_Capacity,3,0.81,1.470716878032644,0.25906792881466334,94.21692032662635
light,No_Capacity,4,0.87,1.7458850286530245,0.2697782137913367,88.90186301355145
light,No_Capacity,5,0.84,1.3864730723034429,0.28369476351442857,85.78575761398413
light,No_Capacity,6,0.81,1.63853883294441,0.25903698319765567,98.27162602347204
light,No_Capacity,7,0.78,1.5983938716736301,0.22810641526764214,91.71375405759896
light,No_Capacity,8,0.7,1.808923616487646,0.3015178627058375,98.70599287207769
light,No_Capacity,9,0.8,1.6250351989262108,0.2709501328780163,88.76808285402115
light,No_Capacity,10,0.84,1.4330809650696903,0.27076745791213636,91.33026540015675
light,No_Capacity,11,0.8,1.6214598823698003,0.29787111835762053,93.40626865920821
light,No_Capacity,12,0.79,1.4233349338455887,0.23195721863013768,90.91568001864245
light,No_Capacity,13,0.79,1.576630296257613,0.2902149858527821,94.87354819582973
light,No_Capacity,14,0.72,1.6912478688341448,0.23768488018021014,90.59008874095346
light,No_Capacity,15,0.81,1.665951477731506,0.24313522847537242,100.36026554280119
light,No_Capacity,16,0.81,1.4494639684259913,0.25460314412846646,91.67296373648307
light,No_Capacity,17,0.81,1.6589606429376238,0.2722609113241439,103.54724583944537
light,No_Capacity,18,0.82,1.5850915497163771,0.2876595931644099,91.62919168585778
