workload,algorithm,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
light,FCFS,1,1.0,0.39730410316408266,0.12677041536609363,38.267982663638094
light,FCFS,2,1.0,0.3998000094524221,0.1161672450831457,39.43628697484182
light,FCFS,3,1.0,0.3904178362693464,0.11655076780306063,38.009596623140396
light,FCFS,4,1.0,0.42354503594372894,0.1365527558666036,40.711384229939455
light,FCFS,5,1.0,0.3398374882700628,0.11877010573707132,33.335111051067514
light,FCFS,6,1.0,0.3938310140492936,0.10985899851469073,38.2842178231448
light,FCFS,7,1.0,0.4033595332130248,0.11394057973742308,39.17624076996975
light,FCFS,8,1.0,0.4277116695433768,0.14141724505014158,40.274285313199215
light,FCFS,9,1.0,0.3534465305817097,0.11529416329537732,34.945190854918934
light,FCFS,10,1.0,0.3588891150599079,0.11929298821281965,34.91759529346453
light,FCFS,11,1.0,0.3681840476319623,0.12452586422934435,35.420062751653234
light,FCFS,12,1.0,0.3304251694164039,0.08822218870608961,32.47122757382141
light,FCFS,13,1.0,0.3711006623019443,0.11905853532127689,36.3301834503437
light,FCFS,14,1.0,0.35612907609473554,0.10520550492258221,34.979539624180305
light,FCFS,15,1.0,0.3866776923008862,0.10678927700000733,37.741104171016445
light,FCFS,16,1.0,0.35698447748869766,0.10040593235670525,34.73947856275083
light,FCFS,17,1.0,0.3729377159152969,0.10539000248092513,36.6989481763965
light,FCFS,18,1.0,0.39367763599768985,0.13555763783450947,38.00156394592433
light,FCFS,19,1.0,0.43950095033897063,0.14149594432553936,41.36760607643863
light,FCFS,20,1.0,0.3566158208225976,0.09546223100782229,34.97725700533837
light,FCFS,21,1.0,0.43486473548078314,0.1174572388888078,42.38829241047689
light,FCFS,22,1.0,0.35279595501772776,0.10376300495766662,34.18289817491059
light,FCFS,23,1.0,0.4029555142510647,0.10247471346348644,39.44171627216525
light,FCFS,24,1.0,0.4172763266741122,0.1393431696024728,39.994961568269645
light,FCFS,25,1.0,0.36077382211995807,0.11267436196253197,35.217329365942106
light,FCFS,26,1.0,0.4411241686615839,0.1499938566198904,42.50983686624899
light,FCFS,27,1.0,0.40249282161710687,0.12846929459928633,39.48207856849004
light,FCFS,28,1.0,0.3590519783931003,0.10681500186759973,35.60254088677837
light,FCFS,29,1.0,0.39178280590507486,0.11243414525645029,38.12203483217937
light,FCFS,30,1.0,0.39494563154596657,0.12681779980946342,38.2429124672111
light,SJF,1,0.63,4.985176387134704,0.296754166182256,92.46655461097265
light,SJF,2,0.46,9.314798027077648,0.27832913918097796,97.70183063373618
light,SJF,3,0.69,4.518425934069123,0.2802046328995939,92.3656482988249
light,SJF,4,0.53,6.395393436727451,0.30684390195912314,95.58438728105017
light,SJF,5,0.48,7.200355104516631,0.2671990525290656,80.88697464984672
light,SJF,6,0.44,9.413901861366723,0.2476570329974043,87.93240633024746
light,SJF,7,0.46,8.3086157380143,0.24585293808631917,91.01214560491303
light,SJF,8,0.72,4.108035668701911,0.29987887591410517,89.59346767379692
light,SJF,9,0.65,4.134327026387409,0.2828806958800406,85.73998565195926
light,SJF,10,0.61,4.4941700430586335,0.28782685256171747,86.3312677682622
light,SJF,11,0.59,6.080329006420873,0.26668528636049266,81.8560383916205
light,SJF,12,0.58,6.938343289976088,0.2105878713786821,77.50937486491789
light,SJF,13,0.68,4.690520541739598,0.2849813522838093,90.39130154836312
light,SJF,14,0.63,4.993649927611191,0.26676011315609455,88.76639641269199
light,SJF,15,0.56,6.827731904084764,0.27778798976305036,98.68613574116708
light,SJF,16,0.51,8.226769801802535,0.25048592113616347,88.66977190822284
light,SJF,17,0.64,5.822506785850504,0.26075176094688673,92.2607499032922
light,SJF,18,0.55,5.985745456004838,0.2863549756899088,84.76205575143753
light,SJF,19,0.51,7.4535987911865735,0.27514082607071644,88.50620566337064
light,SJF,20,0.54,8.138408650887085,0.24638216194567358,90.27415459417209
light,SJF,21,0.59,7.02392989756632,0.279002009826368,102.40174333894157
light,SJF,22,0.6,5.87478981324505,0.263136241601766,88.04366039342901
light,SJF,23,0.66,6.957480070634674,0.25410947764170544,98.15434232492579
light,SJF,24,0.54,6.801538698491076,0.29688704049397124,91.87790062477664
light,SJF,25,0.67,4.4147888885688955,0.2920565523819889,91.30960913417867
light,SJF,26,0.66,4.975934172208615,0.3502811425660872,99.86182488124594
light,SJF,27,0.6,6.287202493331586,0.29301108047467017,92.68980684840717
